"date","weight","level2","Hp2","Hp2_sum","Hp2_cumulative","change","difftime","flux","Hp2_rate"
2013-12-12 00:05:00,4.343797,0.28,0.0933333333333333,1.4,0.0933333333333333,NA,NA,NA,NA
2013-12-12 00:10:00,8.726854,0.43,0.12,1.2,0.213333333333333,4.383057,300,0.132819909090909,4e-04
2013-12-12 00:13:30,12.801539,0.6,0.185714285714286,1.3,0.399047619047619,4.074685,210,0.17639329004329,0.000884353741496599
2013-12-12 00:17:00,17.384831,0.657142857142857,0.2,1.4,0.599047619047619,4.583292,210,0.198410909090909,0.000952380952380952
2013-12-12 00:21:00,21.723185,0.5375,0.175,1.4,0.774047619047619,4.338354,240,0.164331590909091,0.000729166666666667
2013-12-12 00:26:00,25.989743,0.44,0.1,1,0.874047619047619,4.266558,300,0.129289636363636,0.000333333333333333
2013-12-12 00:34:30,30.212376,0.241176470588235,0.1,1.7,0.974047619047619,4.222633,510,0.0752697504456328,0.000196078431372549
2013-12-12 00:47:00,34.255743,0.16,0.048,1.2,1.02204761904762,4.043367,750,0.0490105090909091,6.4e-05
2013-12-12 01:49:30,38.486185,0.0312,0.004,0.5,1.02604761904762,4.230442,3750,0.010255616969697,1.06666666666667e-06
2013-12-12 02:03:00,42.751822,0.151851851851852,0.0407407407407407,1.1,1.06678835978836,4.265637,810,0.0478747138047138,5.0297210791038e-05
2013-12-12 02:13:00,46.952203,0.2,0.08,1.6,1.14678835978836,4.200381,600,0.0636421363636364,0.000133333333333333
2013-12-12 02:19:00,51.249504,0.358333333333333,0.1,1.2,1.24678835978836,4.297301,360,0.108517702020202,0.000277777777777778
2013-12-12 02:23:00,55.370286,0.5125,0.1625,1.3,1.40928835978836,4.120782,240,0.156090227272727,0.000677083333333333
2013-12-12 02:26:00,59.487573,0.683333333333333,0.2,1.2,1.60928835978836,4.117287,180,0.207943787878788,0.00111111111111111
2013-12-12 02:29:00,64.116543,0.766666666666667,0.216666666666667,1.3,1.82595502645503,4.62897,180,0.233786363636363,0.0012037037037037
2013-12-12 02:31:30,68.437267,0.86,0.28,1.4,2.10595502645503,4.32072400000001,150,0.261862060606061,0.00186666666666667
2013-12-12 02:34:30,73.087118,0.766666666666667,0.2,1.2,2.30595502645503,4.649851,180,0.23484095959596,0.00111111111111111
2013-12-12 02:37:30,77.266739,0.716666666666667,0.2,1.2,2.50595502645503,4.179621,180,0.21109196969697,0.00111111111111111
2013-12-12 02:41:00,81.932096,0.685714285714286,0.185714285714286,1.3,2.69166931216931,4.665357,210,0.201963506493507,0.000884353741496599
2013-12-12 02:45:00,86.56142,0.5625,0.1875,1.5,2.87916931216931,4.629324,240,0.175353181818182,0.00078125
2013-12-12 02:47:30,90.617718,0.8,0.24,1.2,3.11916931216931,4.056298,150,0.245836242424242,0.0016
2013-12-12 02:49:30,95.333376,1.15,0.375,1.5,3.49416931216931,4.715658,120,0.357246818181819,0.003125
2013-12-12 02:51:00,101.394744,2.03333333333333,0.633333333333333,1.9,4.12750264550265,6.061368,90,0.612259393939394,0.00703703703703704
2013-12-12 02:52:00,105.623335,2.1,0.65,1.3,4.77750264550265,4.22859099999999,60,0.640695606060605,0.0108333333333333
